city_names
Adana
Adiyaman
Afyonkarahisar
Agri
Amasya
Ankara
Antalya
Artvin
Aydin
Balikesir
Bilecik
Bingol
Bitlis
Bolu
Burdur
Bursa
Canakkale
Cankiri
Corum
Denizli
Diyarbakir
Edirne
Elazig
Erzincan
Erzurum
Eskisehir
Gaziantep
Giresun
Gumushane
Hakkâri
Hatay
Isparta
Mersin
İstanbul
İzmir
Kars
Kastamonu
Kayseri
Kirklareli
Kirsehir
Kocaeli
Konya
Kutahya
Malatya
Manisa
Kahramanmaras
Mardin
Mugla
Mus
Nevsehir
Nigde
Ordu
Rize
Sakarya
Samsun
Siirt
Sinop
Sivas
Tekirdag
Tokat
Trabzon
Tunceli
Sanliurfa
Usak
Van
Yozgat
Zonguldak
Aksaray
Bayburt
Karaman
Kirikkale
Batman
Sirnak
Bartin
Ardahan
Igdir
Yalova
Karabuk
Kilis
Osmaniye
Duzce
